CARRERA (PRIMERA OPCION);CANTIDAD DE VACANTES;CODIGO DE AREA
MEDICINA HUMANA;55;A
OBSTETRICIA;44;A
ENFERMERÍA;46;A
TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA;17;A
TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN;17;A
TEC. MED. RADIOLOGÍA;17;A
TEC. MED. TERAPIA OCUPACIONAL;17;A
NUTRICIÓN;24;A
FARMACIA Y BIOQUÍMICA;29;A
CIENCIAS DE LOS ALIMENTOS;10;A
TOXICOLOGÍA;11;A
ODONTOLOGÍA;25;A
MEDICINA VETERINARIA;22;A
PSICOLOGÍA;48;A
PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA;21;A
QUÍMICA;28;B
CIENCIAS BIOLÓGICAS;30;B
GENÉTICA Y BIOTECNOLOGÍA;21;B
MICROBIOLOGÍA Y PARASITOLOGÍA;23;B
FÍSICA;23;B
MATEMÁTICA;40;B
ESTADÍSTICA;41;B
INVESTIGACIÓN OPERATIVA;30;B
COMPUTACIÓN CIENTÍFICA;38;B
INGENIERÍA QUÍMICA;38;C
INGENIERÍA AGROINDUSTRIAL;35;C
INGENIERÍA MECÁNICA DE FLUIDOS;26;C
INGENIERÍA GEOLÓGICA;21;C
INGENIERÍA GEOGRÁFICA;21;C
INGENIERÍA DE MINAS;15;C
INGENIERÍA METALÚRGICA;15;C
INGENIERÍA CIVIL;40;C
INGENIERÍA AMBIENTAL;15;C
ARQUITECTURA Y URBANISMO;15;C
INGENIERÍA INDUSTRIAL;73;C
INGENIERÍA TEXTIL Y CONFECCIONES;26;C
INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO;18;C
INGENIERÍA ELECTRÓNICA;45;C
INGENIERÍA ELÉCTRICA;20;C
INGENIERÍA DE TELECOMUNICACIONES;30;C
INGENIERÍA BIOMÉDICA;20;C
INGENIERÍA DE SISTEMAS;43;C
INGENIERÍA DE SOFTWARE;15;C
CIENCIA DE LA COMPUTACIÓN;15;C
DERECHO;134;E
LITERATURA;15;E
LINGUÍSTICA;15;E
FILOSOFÍA;15;E
SOCIOLOGÍA;20;E
ANTROPOLOGÍA;20;E
ARQUEOLOGÍA;20;E
HISTORIA;20;E
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN;20;E
ARTE;20;E
DANZA;5;E
ADMINISTRACIÓN;102;D
ADMINISTRACIÓN DE TURISMO;61;D
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;63;D
ADMINISTRACIÓN DE LA GASTRONOMÍA;8;D
ADMINISTRACIÓN MARÍTIMA Y PORTUARIA;8;D
MARKETING;12;D
CONTABILIDAD;135;D
GESTIÓN TRIBUTARIA;53;D
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO;53;D
PRESUPUESTO Y FINANZAS PÚBLICAS;53;D
ECONOMÍA;77;D
ECONOMÍA PÚBLICA;64;D
ECONOMÍA INTERNACIONAL;64;D
