,CARRERA (PRIMERA OPCION),2023II_x,2024I_x,2024II_x,2025I_x,2023II_y,2024I_y,2024II_y,2025I_y,PROM_2023II,PROM_2024I,PROM_2024II,PROM_2025I,MAX_2023II,MAX_2024I,MAX_2024II,MAX_2025I,MIN_2023II,MIN_2024I,MIN_2024II,MIN_2025I,cluster
0,ADMINISTRACIÓN,818.0,960.0,695.0,701.0,134.0,89.0,96.0,103.0,678.5635043263288,723.29,753.4201086956522,880.7528776978418,1366.25,1408.5,1535.25,1506.125,500.125,1008.25,907.125,617.125,0
1,ADMINISTRACIÓN DE LA GASTRONOMÍA,0.0,0.0,101.0,126.0,0.0,0.0,15.0,8.0,0.0,0.0,680.7447916666666,816.5881147540983,0.0,0.0,1218.375,1510.125,0.0,0.0,901.5,1163.5,2
2,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,874.0,1056.0,748.0,916.0,85.0,57.0,61.0,64.0,670.6868343195266,719.675,742.4142091152816,858.6390319031904,1331.875,1556.375,1563.125,1613.875,605.75,901.5,924.875,452.625,0
3,ADMINISTRACIÓN DE TURISMO,219.0,210.0,167.0,194.0,91.0,36.0,47.0,56.0,645.0455069124424,711.3940476190476,750.439371257485,846.3260309278351,1206.5,1326.25,1260.625,1278.875,342.375,901.5,901.5,434.875,1
4,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,0.0,0.0,122.0,160.0,0.0,0.0,23.0,8.0,0.0,0.0,774.090625,850.23671875,0.0,0.0,1387.375,1261.75,0.0,0.0,980.625,1182.375,2
5,ANTROPOLOGÍA,68.0,49.0,38.0,81.0,38.0,15.0,11.0,21.0,701.8257575757576,801.045918367347,751.7598684210526,859.68125,1176.125,1142.875,1093.875,1233.125,643.75,902.625,901.5,990.5,1
6,ARQUEOLOGÍA,52.0,67.0,52.0,66.0,32.0,11.0,16.0,18.0,691.9110576923077,727.162109375,806.5432692307693,883.7797619047619,1093.0,1189.625,1224.0,1493.5,651.625,905.125,900.625,1001.375,1
7,ARQUITECTURA Y URBANISMO,0.0,0.0,0.0,644.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,781.7288732394367,0.0,0.0,0.0,1362.75,0.0,0.0,0.0,1199.5,2
8,ARTE,58.0,58.0,45.0,62.0,33.0,5.0,7.0,17.0,630.5669642857143,662.5659090909091,669.2755681818181,818.8689516129032,1120.625,960.625,1176.125,1211.5,563.125,908.25,912.75,947.25,1
9,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO,147.0,104.0,81.0,132.0,105.0,28.0,30.0,39.0,700.8913793103449,767.2936893203884,807.2421875,874.3153409090909,1325.375,1408.5,1324.0,1388.5,598.125,901.5,901.5,371.625,1
10,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,26.0,31.0,17.0,50.0,18.0,5.0,3.0,15.0,670.995,727.4112903225806,728.5,893.9775,1173.0,1096.375,1091.625,1635.125,585.125,902.625,964.875,970.0,1
11,CIENCIA DE LA COMPUTACIÓN,0.0,0.0,0.0,144.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,913.8601398601398,0.0,0.0,0.0,1516.375,0.0,0.0,0.0,1187.375,2
12,CIENCIA POLÍTICA,309.0,272.0,253.0,315.0,76.0,51.0,55.0,40.0,755.9775,829.7230483271376,841.1755,951.9089967637541,1273.0,1430.75,1326.25,1477.0,919.5,1008.25,1029.375,1165.25,1
13,CIENCIAS BIOLÓGICAS,183.0,191.0,132.0,187.0,32.0,19.0,19.0,30.0,627.603021978022,629.0171957671957,697.9761450381679,820.6727150537635,1167.375,1363.125,1135.25,1435.25,780.875,901.5,901.5,996.125,1
14,CIENCIAS DE LA COMPUTACIÓN,0.0,60.0,103.0,0.0,0.0,8.0,20.0,0.0,0.0,648.7609649122807,771.8131067961165,0.0,0.0,1281.75,1360.875,0.0,0.0,901.5,991.875,0.0,1
15,CIENCIAS DE LOS ALIMENTOS,50.0,29.0,15.0,58.0,17.0,3.0,2.0,10.0,536.4825,592.3318965517242,662.4916666666667,771.375,1031.625,969.375,991.625,1137.5,568.25,906.25,901.5,932.875,1
